2,63,58,59,61,64,59,60,61,63,55,58,59,60,58,61,65,67,1
2,59,58,59,62,66,54,57,62,64,56,59,62,63,56,61,63,66,-1
2,187,58,61,62,67,62,63,66,70,66,70,72,73,68,72,76,77,0
2,10,58,61,63,66,54,55,58,59,54,59,62,65,57,62,66,71,-1
2,0,58,62,67,70,59,60,62,63,58,63,68,72,61,64,67,70,1
2,26,58,62,66,68,54,57,60,62,52,56,60,64,47,52,56,61,0
2,168,58,59,60,64,55,60,63,66,56,57,61,66,53,56,60,61,0
2,18,58,63,66,71,63,67,68,69,64,67,72,77,63,66,68,71,-1
2,127,58,59,62,66,59,64,69,72,64,67,71,76,65,69,73,78,0
2,39,58,61,63,66,59,63,67,68,64,67,72,75,65,66,67,72,-1
2,42,58,63,67,69,61,65,66,69,56,61,64,68,51,54,57,61,0
2,2,58,61,64,69,55,57,60,62,52,56,61,63,48,52,53,58,-1
2,126,58,60,63,65,61,62,66,69,65,68,72,74,70,72,73,75,0
2,125,58,61,65,68,56,61,64,69,53,54,56,60,54,59,62,63,0
2,124,58,59,60,65,54,59,60,62,53,55,58,63,56,58,62,66,1
2,57,58,62,66,70,56,61,65,70,51,53,56,61,48,53,55,60,-1
2,11,58,59,62,66,57,60,65,66,56,60,64,65,52,55,60,61,-1
2,110,58,62,65,70,54,55,59,61,55,57,60,64,58,61,62,66,1
2,49,58,59,63,66,63,66,70,72,68,72,74,77,68,69,72,77,0
2,84,58,61,64,66,59,60,64,68,61,66,69,73,65,69,73,75,1
2,103,58,60,63,66,58,62,65,69,53,58,62,67,57,59,60,65,1
2,34,58,60,65,70,63,65,67,70,60,63,68,70,55,58,60,64,1
2,6,58,61,64,66,60,65,68,69,63,65,67,71,58,63,64,68,-1
2,23,58,62,64,66,61,65,66,69,66,67,69,74,61,62,66,67,-1
2,108,58,60,64,65,61,63,65,67,59,63,68,70,56,58,61,64,1
2,56,58,60,63,66,58,61,62,63,61,62,66,68,60,61,64,69,-1
2,50,58,60,63,64,53,54,56,57,48,50,51,53,53,55,57,61,-1
2,35,58,60,64,67,53,56,60,65,52,53,57,60,50,54,59,62,0
2,70,58,62,64,66,63,66,67,72,66,69,72,76,71,76,80,83,1
2,37,58,63,65,70,62,63,67,69,61,63,68,73,62,67,69,71,1
2,4,58,62,66,70,54,59,63,64,59,61,65,68,61,64,69,71,1
2,44,58,59,62,63,55,56,57,59,56,61,66,68,61,64,65,69,-1
2,73,58,59,60,65,61,62,66,70,60,64,65,68,57,62,64,67,1
2,15,58,61,64,65,54,55,58,60,59,63,68,70,56,61,64,67,0
2,45,58,59,60,61,56,57,58,60,51,56,58,59,56,59,63,66,-1
2,113,58,61,62,66,58,61,63,65,56,58,63,66,55,60,65,67,0
2,58,58,62,66,70,54,56,59,63,55,60,62,64,55,57,60,64,-1
2,43,58,60,63,68,60,61,63,65,61,62,67,72,64,69,74,78,-1
2,3,58,63,67,69,61,65,69,70,65,70,74,75,62,64,67,72,1
2,77,58,61,64,69,59,64,68,69,62,65,68,73,57,60,65,69,0
2,5,58,60,65,66,59,61,65,66,63,67,69,71,61,66,71,75,-1
2,40,58,63,66,68,62,65,66,70,67,71,75,76,62,63,68,70,0
2,46,58,59,62,65,56,57,61,62,60,64,66,70,58,63,66,68,-1
2,8,58,62,63,67,60,65,67,68,60,62,64,66,60,64,68,69,0
2,41,58,59,61,65,57,61,64,69,54,57,59,62,57,62,65,69,1
